booking_id,passenger_id,flight_id,total_price_paid,yield_per_pax,rasm,biz_traveler_prob
PNR111743,PX1086,6E101,8500.0,4.2976,2.703607,0.15
PNR284925,PX1337,6E101,5988.22,3.0277,2.703607,0.15
PNR518789,PX1540,6E101,5614.59,2.8388,2.703607,0.15
PNR544554,PX1456,6E101,9441.24,4.7735,2.703607,0.15
PNR881281,PX1720,6E101,12830.83,6.4873,2.703607,0.15
PNR851146,PX1971,6E101,4150.67,2.0986,2.703607,0.85
PNR310671,PX1526,6E101,12808.62,6.4761,2.703607,0.15
PNR503910,PX1447,6E101,5745.67,2.905,2.703607,0.15
PNR120558,PX1662,6E101,4326.59,2.1875,2.703607,0.15
PNR902872,PX1189,6E101,8236.24,4.1643,2.703607,0.15
PNR305110,PX1825,6E101,11936.66,6.0352,2.703607,0.15
PNR989070,PX1349,6E101,10797.22,5.4591,2.703607,0.15
PNR254801,PX1838,6E101,11512.46,5.8207,2.703607,0.15
PNR738768,PX1503,6E101,10821.3,5.4713,2.703607,0.15
PNR802871,PX1457,6E101,10188.23,5.1512,2.703607,0.15
PNR805752,PX1281,6E101,12158.21,6.1472,2.703607,0.15
PNR562903,PX1837,6E101,11218.33,5.672,2.703607,0.85
PNR859059,PX1757,6E101,12517.91,6.3291,2.703607,0.15
PNR130363,PX1048,6E101,7177.33,3.6289,2.703607,0.15
PNR231905,PX1292,6E101,10862.25,5.492,2.703607,0.15
PNR296860,PX1448,6E101,7955.48,4.0223,2.703607,0.15
PNR972036,PX1904,6E101,5237.95,2.6483,2.703607,0.15
PNR949089,PX1657,6E101,10116.67,5.115,2.703607,0.15
PNR668833,PX1998,6E101,9946.18,5.0288,2.703607,0.15
PNR803818,PX1121,6E101,12096.03,6.1158,2.703607,0.15
PNR134935,PX1191,6E101,9334.87,4.7197,2.703607,0.15
PNR453131,PX1457,6E101,4945.52,2.5005,2.703607,0.15
PNR814692,PX1142,6E101,7924.55,4.0067,2.703607,0.15
PNR346645,PX1271,6E101,7532.06,3.8082,2.703607,0.15
PNR751084,PX1447,6E101,3478.05,1.7585,2.703607,0.15
PNR664359,PX1839,6E101,9719.49,4.9142,2.703607,0.15
PNR356481,PX1643,6E101,8555.6,4.3257,2.703607,0.15
PNR211242,PX1272,6E101,9965.97,5.0388,2.703607,0.15
PNR136331,PX1966,6E101,6534.18,3.3037,2.703607,0.15
PNR323574,PX1885,6E101,12353.9,6.2462,2.703607,0.15
PNR780392,PX1616,6E101,12745.62,6.4442,2.703607,0.15
PNR280760,PX1021,6E101,6140.42,3.1046,2.703607,0.15
PNR524460,PX1566,6E101,12761.08,6.452,2.703607,0.15
PNR787228,PX1602,6E101,11838.36,5.9855,2.703607,0.15
PNR769014,PX1928,6E101,6686.75,3.3808,2.703607,0.15
PNR315672,PX1879,6E101,9124.56,4.6134,2.703607,0.15
PNR782159,PX1437,6E101,8355.26,4.2244,2.703607,0.15
PNR876249,PX1475,6E101,10530.49,5.3242,2.703607,0.15
PNR779163,PX1208,6E101,8930.01,4.515,2.703607,0.15
PNR300322,PX1009,6E101,7697.75,3.892,2.703607,0.85
PNR908414,PX1013,6E101,3796.76,1.9197,2.703607,0.15
PNR661342,PX1111,6E101,4023.93,2.0345,2.703607,0.15
PNR143984,PX1925,6E101,9880.97,4.9958,2.703607,0.15
PNR646821,PX1279,6E101,9651.29,4.8797,2.703607,0.15
PNR400855,PX1544,6E101,8014.44,4.0521,2.703607,0.15
PNR723230,PX1404,6E101,8840.61,4.4698,2.703607,0.15
PNR842963,PX1402,6E101,9919.4,5.0153,2.703607,0.15
PNR983204,PX1261,6E101,5301.87,2.6806,2.703607,0.15
PNR570389,PX1304,6E101,11901.02,6.0172,2.703607,0.15
PNR804932,PX1157,6E101,12641.03,6.3913,2.703607,0.85
PNR320759,PX1563,6E101,5792.38,2.9286,2.703607,0.15
PNR690749,PX1458,6E101,5585.39,2.824,2.703607,0.15
PNR623484,PX1440,6E101,4756.57,2.4049,2.703607,0.15
PNR235450,PX1120,6E101,8229.04,4.1606,2.703607,0.15
PNR464893,PX1995,6E101,5569.62,2.816,2.703607,0.15
PNR639930,PX1042,6E101,11752.17,5.9419,2.703607,0.15
PNR725950,PX1760,6E101,3714.8,1.8782,2.703607,0.15
