booking_id,passenger_id,flight_id,origin_airport,destination_airport,booking_date,travel_date,fare_class,base_fare,taxes,ancillary_revenue,total_price_paid,discount_applied,booking_channel,passenger_count,seat_number,booking_status,cancellation_date,payment_method,days_before_departure
PNR336869,PX1761,6E448,AMD,CCU,2026-02-03 15:45:00,2026-02-26,Economy,10283.86,514.19,600,11398.06,0.0,Mobile App,1,15C,Confirmed,,Net Banking,23
PNR741516,PX1453,6E448,AMD,CCU,2026-02-12 15:45:00,2026-02-26,Economy,7767.43,388.37,350,8505.8,0.0,Mobile App,1,26B,Cancelled,,UPI,14
PNR495609,PX1902,6E448,AMD,CCU,2026-02-10 15:45:00,2026-02-26,Economy,7284.24,364.21,350,7998.46,0.0,Mobile App,1,14A,Confirmed,,UPI,16
PNR145844,PX1028,6E448,AMD,CCU,2026-02-08 15:45:00,2026-02-26,Economy,3565.81,178.29,1200,4944.1,0.0,Web,1,4E,Confirmed,,Wallet,18
PNR529063,PX1505,6E448,AMD,CCU,2026-01-21 15:45:00,2026-02-26,Economy,5953.79,297.69,0,6251.48,0.0,Mobile App,1,23B,Confirmed,,UPI,36
PNR316390,PX1031,6E448,AMD,CCU,2026-01-30 15:45:00,2026-02-26,Economy,5456.42,272.82,350,6079.24,0.0,Web,1,19A,Confirmed,,UPI,27
PNR666747,PX1477,6E448,AMD,CCU,2026-01-17 15:45:00,2026-02-26,Premium,4995.59,249.78,600,5845.37,0.0,Mobile App,1,28B,Confirmed,,Credit Card,40
PNR442173,PX1843,6E448,AMD,CCU,2026-02-13 15:45:00,2026-02-26,Economy,10913.87,545.69,1200,12659.57,0.0,Web,1,3A,Confirmed,,UPI,13
PNR980667,PX1218,6E448,AMD,CCU,2026-02-22 15:45:00,2026-02-26,Economy,3137.26,156.86,350,3644.13,0.0,OTA,1,21B,Confirmed,,UPI,4
PNR212352,PX1890,6E448,AMD,CCU,2026-01-26 15:45:00,2026-02-26,Economy,7469.87,373.49,600,8443.36,0.0,Mobile App,1,9B,Confirmed,,UPI,31
PNR279079,PX1973,6E448,AMD,CCU,2026-02-17 15:45:00,2026-02-26,Economy,10630.13,531.51,600,11761.63,0.0,Web,1,28E,Confirmed,,Credit Card,9
PNR284972,PX1472,6E448,AMD,CCU,2026-01-22 15:45:00,2026-02-26,Business,5976.38,298.82,600,6875.2,0.0,Mobile App,1,23F,Confirmed,,Credit Card,35
PNR894394,PX1979,6E448,AMD,CCU,2026-01-30 15:45:00,2026-02-26,Economy,11995.59,599.78,350,12945.37,0.0,Mobile App,1,29A,Confirmed,,Credit Card,27
PNR680294,PX1023,6E448,AMD,CCU,2026-01-13 15:45:00,2026-02-26,Economy,8342.71,417.14,0,8759.84,0.0,Mobile App,1,5A,Confirmed,,UPI,44
PNR916832,PX1110,6E448,AMD,CCU,2026-02-10 15:45:00,2026-02-26,Economy,8281.87,414.09,350,9045.96,0.0,Web,1,19F,Confirmed,,Credit Card,16
PNR244810,PX1359,6E448,AMD,CCU,2026-02-02 15:45:00,2026-02-26,Premium,8289.86,414.49,600,9304.35,0.0,Web,1,14E,Confirmed,,Credit Card,24
PNR227459,PX1478,6E448,AMD,CCU,2026-01-13 15:45:00,2026-02-26,Economy,4537.7,226.89,600,5364.59,0.0,Web,1,29B,Confirmed,,Wallet,44
PNR976996,PX1106,6E448,AMD,CCU,2026-02-14 15:45:00,2026-02-26,Economy,11693.37,584.67,0,12278.04,0.0,Mobile App,1,24A,Confirmed,,UPI,12
PNR750937,PX1577,6E448,AMD,CCU,2026-01-18 15:45:00,2026-02-26,Economy,11096.59,554.83,0,11651.42,0.0,Web,1,28E,Confirmed,,Net Banking,39
PNR847102,PX1295,6E448,AMD,CCU,2026-02-20 15:45:00,2026-02-26,Economy,7815.16,390.76,350,8555.92,0.0,OTA,1,18F,Confirmed,,Credit Card,6
PNR477233,PX1796,6E448,AMD,CCU,2026-01-23 15:45:00,2026-02-26,Business,3246.96,162.35,350,3759.31,0.0,Web,1,7D,Confirmed,,UPI,34
PNR901242,PX1974,6E448,AMD,CCU,2026-01-26 15:45:00,2026-02-26,Economy,4346.19,217.31,350,4913.5,0.0,Mobile App,1,8C,Confirmed,,UPI,31
PNR592289,PX1974,6E448,AMD,CCU,2026-01-17 15:45:00,2026-02-26,Economy,5612.01,280.6,0,5892.61,0.0,Web,1,2B,Confirmed,,Wallet,40
PNR106132,PX1443,6E448,AMD,CCU,2026-02-19 15:45:00,2026-02-26,Economy,4832.05,241.6,350,5423.65,0.0,Web,1,10D,Confirmed,,UPI,7
PNR214524,PX1302,6E448,AMD,CCU,2026-01-18 15:45:00,2026-02-26,Economy,4262.23,213.11,600,5075.34,0.0,OTA,1,6B,Confirmed,,Wallet,39
PNR303188,PX1852,6E448,AMD,CCU,2026-01-19 15:45:00,2026-02-26,Economy,8003.49,400.17,600,9003.66,0.0,Mobile App,1,19F,Confirmed,,UPI,38
PNR272790,PX1116,6E448,AMD,CCU,2026-01-19 15:45:00,2026-02-26,Economy,8816.41,440.82,350,9607.23,0.0,Web,1,3C,Confirmed,,UPI,38
PNR354673,PX1758,6E448,AMD,CCU,2026-02-25 15:45:00,2026-02-26,Economy,4588.78,229.44,350,5168.22,0.0,Mobile App,1,12D,Confirmed,,Wallet,1
PNR464229,PX1230,6E448,AMD,CCU,2026-02-02 15:45:00,2026-02-26,Economy,4470.35,223.52,0,4693.87,0.0,Mobile App,1,12B,Confirmed,,Credit Card,24
PNR213211,PX1292,6E448,AMD,CCU,2026-01-29 15:45:00,2026-02-26,Economy,6708.39,335.42,0,7043.81,0.0,Mobile App,1,14C,Confirmed,,Net Banking,28
PNR229429,PX1035,6E448,AMD,CCU,2026-01-20 15:45:00,2026-02-26,Premium,3394.44,169.72,600,4164.17,0.0,Mobile App,1,2D,Confirmed,,UPI,37
PNR407401,PX1940,6E448,AMD,CCU,2026-02-02 15:45:00,2026-02-26,Economy,7626.25,381.31,0,8007.56,0.0,Mobile App,1,12F,Confirmed,,UPI,24
PNR239094,PX1354,6E448,AMD,CCU,2026-02-20 15:45:00,2026-02-26,Economy,6732.57,336.63,0,7069.2,0.0,Web,1,13C,Confirmed,,UPI,6
PNR148404,PX1524,6E448,AMD,CCU,2026-01-18 15:45:00,2026-02-26,Economy,8514.22,425.71,0,8939.93,0.0,Mobile App,1,12B,Confirmed,,UPI,39
PNR131421,PX1285,6E448,AMD,CCU,2026-02-13 15:45:00,2026-02-26,Economy,10079.49,503.97,0,10583.47,0.0,Web,1,25C,Confirmed,,UPI,13
PNR331977,PX1492,6E448,AMD,CCU,2026-01-25 15:45:00,2026-02-26,Economy,6111.71,305.59,600,7017.3,0.0,Mobile App,1,5C,Cancelled,,Credit Card,32
PNR540304,PX1331,6E448,AMD,CCU,2026-02-06 15:45:00,2026-02-26,Economy,5480.28,274.01,600,6354.3,0.0,Web,1,13B,Confirmed,,UPI,20
PNR493213,PX1400,6E448,AMD,CCU,2026-01-26 15:45:00,2026-02-26,Economy,9631.9,481.6,600,10713.5,0.0,Mobile App,1,26F,Confirmed,,UPI,31
PNR793803,PX1614,6E448,AMD,CCU,2026-02-14 15:45:00,2026-02-26,Economy,10070.28,503.51,600,11173.8,0.0,Web,1,20E,Confirmed,,Credit Card,12
PNR164841,PX1385,6E448,AMD,CCU,2026-02-04 15:45:00,2026-02-26,Economy,6978.83,348.94,600,7927.77,0.0,Mobile App,1,14F,Confirmed,,UPI,22
PNR330417,PX1710,6E448,AMD,CCU,2026-02-21 15:45:00,2026-02-26,Economy,11348.89,567.44,350,12266.33,0.0,OTA,1,23D,Confirmed,,UPI,5
PNR592568,PX1149,6E448,AMD,CCU,2026-01-17 15:45:00,2026-02-26,Business,5027.03,251.35,350,5628.38,0.0,OTA,1,6B,Confirmed,,Credit Card,40
PNR573060,PX1416,6E448,AMD,CCU,2026-02-18 15:45:00,2026-02-26,Economy,4214.04,210.7,0,4424.75,0.0,OTA,1,9C,Confirmed,,Wallet,8
PNR440261,PX1137,6E448,AMD,CCU,2026-01-22 15:45:00,2026-02-26,Economy,8603.13,430.16,600,9633.29,0.0,Mobile App,1,8F,Confirmed,,UPI,35
PNR470442,PX1389,6E448,AMD,CCU,2026-01-23 15:45:00,2026-02-26,Economy,10904.14,545.21,0,11449.34,0.0,OTA,1,12C,Confirmed,,UPI,34
PNR148269,PX1946,6E448,AMD,CCU,2026-01-31 15:45:00,2026-02-26,Economy,9785.67,489.28,0,10274.96,0.0,Web,1,28E,Confirmed,,UPI,26
PNR216876,PX1607,6E448,AMD,CCU,2026-02-21 15:45:00,2026-02-26,Economy,6295.97,314.8,600,7210.77,0.0,Web,1,14B,Confirmed,,Wallet,5
PNR150906,PX1903,6E448,AMD,CCU,2026-01-23 15:45:00,2026-02-26,Economy,8847.61,442.38,350,9639.99,0.0,Mobile App,1,5C,Confirmed,,Net Banking,34
PNR437228,PX1793,6E448,AMD,CCU,2026-02-09 15:45:00,2026-02-26,Economy,8006.2,400.31,600,9006.51,0.0,Web,1,6D,Confirmed,,Credit Card,17
PNR598155,PX1719,6E448,AMD,CCU,2026-01-19 15:45:00,2026-02-26,Economy,3107.7,155.38,600,3863.08,0.0,OTA,1,10D,Confirmed,,Wallet,38
PNR729400,PX1465,6E448,AMD,CCU,2026-01-20 15:45:00,2026-02-26,Economy,6232.32,311.62,0,6543.94,0.0,Mobile App,1,23E,Confirmed,,Credit Card,37
PNR332606,PX1305,6E448,AMD,CCU,2026-01-23 15:45:00,2026-02-26,Business,8657.66,432.88,350,9440.54,0.0,Mobile App,1,18D,Confirmed,,Credit Card,34
PNR884462,PX1847,6E448,AMD,CCU,2026-02-13 15:45:00,2026-02-26,Economy,8148.18,407.41,600,9155.59,0.0,Mobile App,1,23C,Confirmed,,Credit Card,13
PNR933221,PX1741,6E448,AMD,CCU,2026-02-07 15:45:00,2026-02-26,Economy,6703.96,335.2,0,7039.15,0.0,Mobile App,1,2D,Cancelled,,UPI,19
